Aerospace_Production,Other_Aero_Column,Month,Freight_Index,Other_Freight_Column,Supply_Pressure,Other_GSCPI_Column,Production_Volatility_3mo,Freight_Volatility_3mo,Pressure_Change
100,50,2021-01-01,200,80,2.0,120,,,
101,51,2021-02-01,201,81,2.1,121,,,0.1
102,52,2021-03-01,202,82,2.2,122,1.0,1.0,0.1
103,53,2021-04-01,203,83,2.3,123,1.0,1.0,0.0999999999999996
104,54,2021-05-01,204,84,2.4,124,1.0,1.0,0.1
105,55,2021-06-01,205,85,2.5,125,1.0,1.0,0.1
106,56,2021-07-01,206,86,2.6,126,1.0,1.0,0.1
107,57,2021-08-01,207,87,2.7,127,1.0,1.0,0.1
108,58,2021-09-01,208,88,2.8,128,1.0,1.0,0.0999999999999996
109,59,2021-10-01,209,89,2.9,129,1.0,1.0,0.1
110,60,2021-11-01,210,90,3.0,130,1.0,1.0,0.1
111,61,2021-12-01,211,91,3.1,131,1.0,1.0,0.1
112,62,2022-01-01,212,92,3.2,132,1.0,1.0,0.1
113,63,2022-02-01,213,93,3.3,133,1.0,1.0,0.0999999999999996
114,64,2022-03-01,214,94,3.4000000000000004,134,1.0,1.0,0.1000000000000005
115,65,2022-04-01,215,95,3.5,135,1.0,1.0,0.0999999999999996
116,66,2022-05-01,216,96,3.6,136,1.0,1.0,0.1
117,67,2022-06-01,217,97,3.7,137,1.0,1.0,0.1
118,68,2022-07-01,218,98,3.8,138,1.0,1.0,0.0999999999999996
119,69,2022-08-01,219,99,3.9,139,1.0,1.0,0.1000000000000005
120,70,2022-09-01,220,100,4.0,140,1.0,1.0,0.0999999999999996
121,71,2022-10-01,221,101,4.1,141,1.0,1.0,0.0999999999999996
122,72,2022-11-01,222,102,4.2,142,1.0,1.0,0.1000000000000005
123,73,2022-12-01,223,103,4.300000000000001,143,1.0,1.0,0.1000000000000005
